2026-08-08 15:14:54.477 [background-preinit] INFO  o.h.validator.internal.util.Version [] - HV000001: Hibernate Validator 8.0.1.Final
2026-08-08 15:14:54.548 [main] INFO  k.backend.BackendApplication [] - Starting BackendApplication using Java 17.0.12 with PID 9052 (E:\KhetConnect\backend\backend\target\classes started by dev in E:\KhetConnect\backend\backend)
2026-08-08 15:14:54.549 [main] INFO  k.backend.BackendApplication [] - No active profile set, falling back to 1 default profile: "default"
2026-08-08 15:14:55.702 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-08-08 15:14:55.815 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate [] - Finished Spring Data repository scanning in 103 ms. Found 11 JPA repository interfaces.
2026-08-08 15:14:56.722 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer [] - Tomcat initialized with port 8081 (http)
2026-08-08 15:14:56.736 [main] INFO  o.a.coyote.http11.Http11NioProtocol [] - Initializing ProtocolHandler ["http-nio-8081"]
2026-08-08 15:14:56.738 [main] INFO  o.a.catalina.core.StandardService [] - Starting service [Tomcat]
2026-08-08 15:14:56.738 [main] INFO  o.a.catalina.core.StandardEngine [] - Starting Servlet engine: [Apache Tomcat/10.1.20]
2026-08-08 15:14:56.818 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] [] - Initializing Spring embedded WebApplicationContext
2026-08-08 15:14:56.818 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext [] - Root WebApplicationContext: initialization completed in 2214 ms
2026-08-08 15:14:56.968 [main] INFO  com.zaxxer.hikari.HikariDataSource [] - HikariPool-1 - Starting...
2026-08-08 15:14:57.181 [main] INFO  com.zaxxer.hikari.pool.HikariPool [] - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:khetconnect user=SA
2026-08-08 15:14:57.182 [main] INFO  com.zaxxer.hikari.HikariDataSource [] - HikariPool-1 - Start completed.
2026-08-08 15:14:57.190 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration [] - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:khetconnect'
2026-08-08 15:14:57.373 [main] INFO  o.h.jpa.internal.util.LogHelper [] - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-08-08 15:14:57.452 [main] INFO  org.hibernate.Version [] - HHH000412: Hibernate ORM core version 6.4.4.Final
2026-08-08 15:14:57.492 [main] INFO  o.h.c.i.RegionFactoryInitiator [] - HHH000026: Second-level cache disabled
2026-08-08 15:14:57.755 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo [] - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-08-08 15:14:58.873 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator [] - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-08-08 15:14:58.982 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean [] - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-08-08 15:14:59.288 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory [] - Hibernate is in classpath; If applicable, HQL parser will be used.
2026-08-08 15:15:00.398 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration [] - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-08-08 15:15:00.851 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver [] - Exposing 1 endpoint(s) beneath base path '/actuator'
2026-08-08 15:15:00.962 [main] INFO  o.s.s.web.DefaultSecurityFilterChain [] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@52b2f795, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6319ea75, org.springframework.security.web.context.SecurityContextHolderFilter@3415ecfe, org.springframework.security.web.header.HeaderWriterFilter@4dc34411, org.springframework.web.filter.CorsFilter@19640d53, org.springframework.security.web.authentication.logout.LogoutFilter@3af5f0da, khetconnect.backend.config.RequestIdFilter@59a94d0f, khetconnect.backend.security.JwtAuthFilter@4e22fdc0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@64cde9a5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@69c7b870, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@32f0a9c2, org.springframework.security.web.session.SessionManagementFilter@216bd6cd, org.springframework.security.web.access.ExceptionTranslationFilter@6175782c, org.springframework.security.web.access.intercept.AuthorizationFilter@581a0bf]
2026-08-08 15:15:01.427 [main] INFO  o.a.coyote.http11.Http11NioProtocol [] - Starting ProtocolHandler ["http-nio-8081"]
2026-08-08 15:15:01.462 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer [] - Tomcat started on port 8081 (http) with context path ''
2026-08-08 15:15:01.480 [main] INFO  k.backend.BackendApplication [] - Started BackendApplication in 7.531 seconds (process running for 7.899)
2026-08-08 15:16:42.986 [http-nio-8081-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] [] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-08-08 15:16:42.987 [http-nio-8081-exec-2] INFO  o.s.web.servlet.DispatcherServlet [] - Initializing Servlet 'dispatcherServlet'
2026-08-08 15:16:42.989 [http-nio-8081-exec-2] INFO  o.s.web.servlet.DispatcherServlet [] - Completed initialization in 1 ms
